y=1388, x=546..564
y=1536, x=581..592
y=440, x=616..630
x=591, y=309..315
x=481, y=1324..1325
x=551, y=745..752
x=587, y=831..835
x=617, y=2009..2022
x=473, y=405..431
x=584, y=845..851
y=1088, x=622..639
y=1191, x=439..467
x=500, y=817..828
x=499, y=1562..1579
y=505, x=512..537
y=973, x=444..466
x=459, y=928..939
y=1668, x=495..522
x=531, y=1310..1324
y=1111, x=437..460
x=462, y=1343..1357
y=936, x=466..469
x=534, y=1352..1361
x=529, y=498..501
x=553, y=1764..1776
x=500, y=1954..1981
y=476, x=531..541
y=1312, x=581..593
x=444, y=84..86
x=572, y=1995..1998
x=468, y=1094..1097
x=599, y=959..979
x=632, y=652..662
x=491, y=155..162
x=634, y=70..80
y=1802, x=563..624
x=549, y=762..784
y=344, x=468..563
x=603, y=811..814
x=608, y=314..317
y=37, x=527..541
y=1915, x=500..502
x=436, y=1032..1042
x=560, y=150..153
y=445, x=468..471
x=609, y=641..647
y=98, x=616..636
y=535, x=441..457
x=477, y=753..764
y=1561, x=539..542
y=1290, x=595..618
y=936, x=580..606
x=491, y=926..941
x=537, y=1266..1276
x=539, y=1558..1561
y=1933, x=550..571
x=590, y=1766..1778
y=1334, x=613..634
x=535, y=1235..1253
x=478, y=1284..1294
x=546, y=1052..1065
y=119, x=582..586
x=485, y=52..65
y=593, x=600..609
y=1513, x=510..520
x=482, y=805..807
y=1139, x=514..527
x=586, y=1940..1944
y=1821, x=568..571
y=1998, x=550..572
y=1723, x=547..568
y=1234, x=511..527
y=42, x=573..575
x=619, y=1163..1174
x=532, y=98..118
x=586, y=1682..1694
y=830, x=542..564
x=557, y=1162..1173
x=558, y=501..509
y=1526, x=599..612
x=572, y=1832..1843
x=590, y=177..189
y=1911, x=444..451
x=561, y=1712..1720
x=463, y=1996..2016
x=617, y=449..460
x=462, y=1947..1951
x=452, y=1918..1932
x=523, y=1286..1297
x=591, y=1950..1961
x=629, y=549..554
x=592, y=502..504
x=514, y=1135..1139
x=465, y=239..244
y=1303, x=616..637
x=504, y=1149..1160
x=459, y=338..345
y=1762, x=516..536
x=631, y=301..306
x=452, y=253..265
x=487, y=1686..1693
x=534, y=741..756
y=1365, x=529..546
x=606, y=1935..1937
x=588, y=734..753
y=1487, x=602..607
y=46, x=564..583
x=541, y=613..620
x=558, y=1374..1385
x=460, y=1104..1111
x=506, y=202..209
x=512, y=1371..1384
x=580, y=433..442
x=462, y=566..570
x=605, y=1088..1104
x=585, y=1834..1843
x=570, y=115..120
x=463, y=1615..1637
y=570, x=458..462
x=509, y=948..950
x=591, y=721..723
x=588, y=817..822
y=1309, x=445..450
x=445, y=1201..1207
x=597, y=811..814
x=613, y=261..272
x=560, y=1576..1578
y=810, x=555..565
y=510, x=468..471
x=519, y=32..43
y=1814, x=470..476
x=548, y=882..884
y=1136, x=604..618
y=1385, x=556..558
x=443, y=1339..1355
x=629, y=1576..1586
x=470, y=564..573
x=509, y=1288..1300
x=489, y=889..899
x=557, y=1118..1130
x=512, y=1059..1074
x=546, y=1268..1279
y=1297, x=520..523
y=899, x=471..489
x=581, y=232..233
x=589, y=1741..1752
y=1480, x=475..480
x=596, y=149..164
x=501, y=1156..1167
x=441, y=558..581
x=577, y=762..764
x=546, y=500..509
x=445, y=1388..1394
x=531, y=498..501
y=358, x=627..631
x=639, y=44..63
x=516, y=970..972
x=630, y=418..440
y=265, x=452..459
y=1680, x=596..616
y=1716, x=452..468
x=524, y=907..918
x=457, y=1943..1953
x=568, y=468..474
x=458, y=1135..1144
x=629, y=1404..1416
y=1637, x=491..494
x=546, y=696..706
x=603, y=1743..1755
x=556, y=1504..1517
x=480, y=1259..1263
y=972, x=516..519
y=1463, x=584..610
x=490, y=797..810
y=509, x=586..607
y=1811, x=540..553
x=573, y=1117..1130
y=1834, x=561..566
x=581, y=1515..1536
y=581, x=439..441
y=1279, x=529..546
x=616, y=396..402
x=452, y=1699..1716
y=17, x=544..569
x=521, y=1924..1932
x=451, y=523..532
x=475, y=1696..1717
x=567, y=530..553
y=1395, x=458..472
x=576, y=1320..1324
x=575, y=1504..1517
y=992, x=583..595
x=611, y=1363..1385
x=616, y=1658..1680
x=566, y=1183..1193
x=558, y=171..196
x=581, y=156..161
x=529, y=232..234
y=1756, x=485..494
x=513, y=1009..1021
y=209, x=491..506
y=912, x=544..567
y=611, x=549..551
y=398, x=513..519
x=488, y=1490..1492
y=1085, x=534..555
x=500, y=1035..1038
x=472, y=1855..1870
x=612, y=798..821
y=370, x=505..509
x=602, y=1284..1287
x=483, y=1259..1263
x=558, y=98..107
y=451, x=459..480
x=439, y=559..581
x=482, y=1531..1543
y=1026, x=557..567
y=1712, x=559..561
x=534, y=1832..1852
x=562, y=1681..1694
x=478, y=292..295
x=466, y=959..973
y=764, x=577..579
x=621, y=13..20
x=444, y=563..573
x=524, y=1968..1976
x=456, y=1455..1457
x=494, y=1625..1637
y=1693, x=487..503
x=446, y=1338..1355
x=610, y=327..344
y=1920, x=580..598
x=516, y=1242..1254
x=449, y=1997..2016
x=501, y=53..65
x=450, y=1286..1309
x=511, y=1530..1532
x=507, y=1179..1184
x=530, y=309..323
y=14, x=488..490
y=901, x=577..581
x=457, y=374..388
x=595, y=979..992
x=546, y=1033..1042
x=547, y=1188..1190
x=449, y=1443..1462
y=2022, x=617..642
x=575, y=720..723
x=621, y=230..253
x=449, y=108..128
x=591, y=1930..1941
x=564, y=1377..1388
y=192, x=461..470
x=629, y=1348..1359
x=461, y=724..741
x=444, y=891..902
x=555, y=231..233
x=562, y=1906..1915
y=1780, x=528..531
x=445, y=1287..1309
y=1144, x=440..458
x=522, y=1627..1629
x=461, y=836..849
x=567, y=1905..1915
x=580, y=1689..1691
y=744, x=437..448
x=520, y=1153..1155
x=573, y=1689..1691
y=881, x=523..530
y=20, x=621..630
x=601, y=114..133
x=508, y=482..483
x=610, y=859..864
x=624, y=1652..1660
x=471, y=820..831
x=555, y=1236..1253
x=593, y=1451..1458
x=587, y=695..700
x=447, y=109..128
x=553, y=1791..1811
y=1038, x=500..536
x=583, y=979..992
y=2001, x=608..628
y=762, x=577..579
y=1285, x=555..570
y=1224, x=573..576
x=480, y=1737..1746
x=588, y=223..249
x=468, y=480..492
x=461, y=578..589
y=189, x=584..590
x=550, y=846..854
y=1799, x=469..475
x=556, y=1049..1058
y=727, x=532..560
y=573, x=444..470
x=574, y=1161..1173
x=592, y=1065..1074
x=458, y=415..426
x=458, y=1570..1572
x=575, y=36..42
x=536, y=1740..1762
x=529, y=165..167
y=1211, x=620..638
x=610, y=381..384
x=491, y=255..265
y=841, x=604..627
y=1370, x=587..592
y=1411, x=533..559
x=471, y=155..162
y=1951, x=462..483
y=925, x=587..600
x=470, y=180..192
x=590, y=156..161
y=683, x=445..483
x=581, y=1853..1863
y=173, x=456..463
x=538, y=1597..1603
x=621, y=1033..1042
x=486, y=1323..1325
y=592, x=453..472
y=133, x=531..539
y=877, x=473..492
x=565, y=1140..1151
x=598, y=729..736
x=542, y=1558..1561
x=510, y=29..37
x=583, y=26..46
x=636, y=396..402
y=498, x=529..531
x=589, y=1834..1843
y=363, x=459..573
x=488, y=1614..1637
x=574, y=114..133
x=445, y=1745..1755
x=468, y=330..344
x=576, y=1210..1224
y=605, x=511..516
y=726, x=488..507
x=568, y=756..768
x=544, y=895..912
x=539, y=126..133
y=1158, x=585..600
x=471, y=797..810
x=604, y=1284..1287
y=297, x=557..569
x=491, y=202..209
x=541, y=30..37
x=461, y=906..917
x=482, y=502..507
x=518, y=181..194
x=614, y=730..736
y=1493, x=567..583
x=510, y=1811..1826
y=188, x=448..454
x=618, y=1268..1290
x=625, y=932..957
x=555, y=1266..1285
y=1429, x=559..575
y=426, x=456..458
y=973, x=488..492
x=574, y=1593..1606
y=1778, x=576..590
x=512, y=1311..1324
x=500, y=834..845
x=441, y=1666..1685
x=588, y=1386..1402
x=639, y=1405..1416
y=272, x=610..613
x=611, y=971..995
x=476, y=677..680
x=542, y=75..89
x=457, y=1618..1626
x=494, y=184..191
x=526, y=1506..1508
x=494, y=119..133
x=457, y=542..552
x=609, y=176..193
y=1357, x=462..475
x=599, y=1518..1526
x=588, y=15..35
y=1107, x=540..557
x=535, y=1463..1473
y=258, x=497..522
x=479, y=1888..1894
y=239, x=510..536
x=454, y=1268..1287
x=443, y=1946..1948
y=647, x=601..609
x=542, y=1506..1508
x=525, y=425..442
y=409, x=443..464
y=1834, x=585..589
x=478, y=483..496
y=1022, x=578..594
x=466, y=925..936
y=1475, x=444..456
x=446, y=278..297
x=635, y=1652..1660
x=519, y=1221..1230
x=537, y=180..194
y=191, x=528..530
y=995, x=521..524
y=1401, x=507..510
x=452, y=819..831
y=1590, x=467..485
x=614, y=1089..1104
y=1932, x=452..459
x=530, y=138..148
x=460, y=817..828
y=1508, x=526..542
y=405, x=451..455
y=939, x=459..477
x=513, y=29..37
y=918, x=515..524
y=153, x=548..560
x=467, y=372..385
y=1016, x=599..616
y=1166, x=630..639
x=474, y=1737..1746
x=498, y=1768..1772
x=539, y=1417..1430
y=1961, x=571..591
x=449, y=523..532
y=344, x=610..612
x=473, y=1285..1294
x=565, y=657..667
y=1872, x=609..613
y=1714, x=580..598
x=542, y=823..830
x=528, y=368..387
x=581, y=899..901
x=575, y=1365..1371
y=1776, x=543..553
x=502, y=834..845
x=601, y=502..504
y=1720, x=559..561
y=474, x=568..590
y=1104, x=605..614
x=612, y=327..344
x=470, y=480..492
y=1973, x=561..563
y=507, x=482..503
x=514, y=989..998
y=1217, x=489..494
x=601, y=641..647
x=632, y=1094..1098
x=636, y=94..98
x=638, y=6..29
x=563, y=68..80
x=514, y=1263..1266
y=848, x=491..509
y=723, x=575..591
x=450, y=352..364
x=456, y=1875..1882
y=1553, x=617..624
x=481, y=600..610
x=594, y=474..484
y=1405, x=507..510
x=531, y=1419..1433
y=1042, x=436..546
x=543, y=882..884
x=592, y=372..381
y=1012, x=473..478
x=520, y=1531..1532
x=441, y=526..535
x=599, y=1592..1606
x=613, y=1312..1334
y=1606, x=574..599
y=1451, x=593..601
x=479, y=1202..1229
x=503, y=610..634
x=626, y=1971..1982
y=1774, x=581..584
x=522, y=246..258
y=427, x=581..603
y=1852, x=534..541
x=492, y=863..877
x=580, y=923..936
x=460, y=1744..1755
x=593, y=858..864
x=595, y=418..421
x=511, y=1223..1234
y=1882, x=456..480
x=529, y=839..844
x=497, y=694..705
x=491, y=836..848
x=614, y=1475..1492
x=462, y=206..230
x=548, y=1637..1646
x=537, y=1797..1822
x=525, y=249..260
x=544, y=1529..1542
x=527, y=1149..1160
x=609, y=1668..1673
y=1160, x=504..527
y=1870, x=462..472
x=500, y=1902..1915
x=595, y=773..780
y=828, x=460..464
y=1852, x=628..630
y=1335, x=490..509
x=560, y=904..907
x=605, y=550..554
y=1495, x=618..630
x=469, y=1973..1981
y=1891, x=529..555
x=586, y=1721..1734
x=591, y=1869..1880
x=535, y=2007..2011
y=449, x=542..553
x=449, y=457..467
x=508, y=1864..1870
x=601, y=1245..1248
x=620, y=487..508
x=541, y=474..476
y=874, x=482..484
y=2011, x=517..535
x=563, y=784..786
y=1843, x=551..572
x=586, y=98..107
x=505, y=739..742
y=957, x=625..639
x=565, y=127..143
y=616, x=472..489
y=206, x=588..613
y=1256, x=558..567
y=1630, x=559..581
x=598, y=1796..1799
x=582, y=119..129
x=536, y=1966..1984
x=570, y=127..140
x=458, y=1853..1872
x=563, y=1955..1973
y=1168, x=608..612
x=467, y=1164..1191
x=581, y=585..607
x=625, y=798..818
x=521, y=1221..1230
x=616, y=418..440
y=1637, x=463..488
y=129, x=582..586
x=637, y=1297..1303
x=469, y=1276..1280
y=492, x=468..470
x=542, y=140..151
x=556, y=1815..1822
x=613, y=5..29
x=443, y=460..473
x=516, y=1060..1074
x=518, y=610..634
x=617, y=1542..1553
y=1074, x=512..516
y=1355, x=443..446
y=822, x=578..588
x=461, y=792..809
x=468, y=1221..1228
x=628, y=1829..1852
x=517, y=2006..2011
x=574, y=694..700
y=1887, x=610..625
x=606, y=475..484
x=579, y=1596..1598
y=1454, x=521..544
x=542, y=1965..1984
x=477, y=505..517
x=568, y=1707..1723
y=1564, x=533..550
y=1750, x=452..454
x=517, y=74..86
x=599, y=299..321
x=576, y=434..442
x=621, y=798..818
x=610, y=261..272
y=854, x=550..555
x=571, y=1921..1933
x=474, y=1444..1461
y=1953, x=437..457
y=1814, x=584..608
x=541, y=1833..1852
y=1125, x=487..503
x=631, y=200..214
x=469, y=540..548
x=503, y=2005..2014
y=677, x=462..476
y=421, x=595..597
x=456, y=161..173
y=89, x=542..544
x=495, y=720..723
x=445, y=1220..1228
x=497, y=720..723
x=603, y=405..427
y=1981, x=488..500
x=567, y=1240..1256
x=584, y=658..667
x=536, y=1035..1038
x=569, y=285..297
y=1694, x=562..586
y=639, x=579..593
y=355, x=521..539
y=599, x=521..543
x=464, y=817..828
x=524, y=1007..1018
x=443, y=399..409
x=546, y=1354..1365
x=630, y=1489..1495
x=523, y=1242..1254
x=486, y=292..295
x=497, y=246..258
x=555, y=1073..1085
x=499, y=1923..1932
x=511, y=264..276
x=520, y=1797..1822
y=1284, x=602..604
x=453, y=457..467
x=628, y=1992..2001
x=482, y=986..1005
x=558, y=1049..1058
x=594, y=1000..1022
x=468, y=1667..1685
x=616, y=1297..1303
x=536, y=810..822
y=822, x=520..536
y=680, x=462..476
y=589, x=461..465
x=551, y=586..611
x=526, y=1864..1870
x=475, y=1644..1670
x=586, y=119..129
y=63, x=621..639
y=1543, x=465..482
x=565, y=695..706
y=233, x=555..581
x=608, y=45..54
y=496, x=459..478
y=1266, x=504..514
x=459, y=459..473
y=29, x=613..638
y=271, x=538..541
y=1824, x=561..577
y=1325, x=481..486
x=621, y=1364..1385
x=567, y=896..912
x=608, y=1166..1168
y=831, x=452..471
x=490, y=820..831
y=1779, x=606..608
x=516, y=586..605
y=388, x=635..638
y=162, x=471..491
y=745, x=495..521
x=538, y=270..271
x=498, y=1368..1381
x=621, y=44..63
x=624, y=74..76
y=80, x=617..634
x=581, y=1771..1774
y=1579, x=499..517
x=604, y=1119..1136
y=1734, x=586..612
x=564, y=1051..1065
x=477, y=927..939
y=80, x=556..563
x=546, y=722..724
x=437, y=742..744
x=503, y=1118..1125
x=609, y=1852..1872
x=445, y=670..683
y=1324, x=571..576
x=612, y=1519..1526
y=508, x=620..627
y=995, x=611..620
y=723, x=495..497
x=559, y=1618..1630
x=628, y=229..253
y=1151, x=545..565
x=501, y=31..43
y=1324, x=512..531
x=536, y=227..239
x=513, y=1153..1155
x=584, y=177..189
x=465, y=372..385
y=1097, x=456..468
y=1957, x=579..585
y=317, x=463..476
x=594, y=1476..1492
x=521, y=1308..1320
y=1431, x=579..607
x=597, y=1741..1752
y=706, x=546..565
x=545, y=1093..1103
x=529, y=1289..1300
x=572, y=1457..1460
x=556, y=762..784
x=447, y=1674..1678
x=610, y=1883..1887
x=579, y=1457..1460
y=742, x=505..513
x=474, y=1201..1229
x=484, y=1490..1492
x=497, y=817..828
x=494, y=50..59
y=140, x=568..570
y=217, x=524..551
x=451, y=402..405
x=573, y=1209..1224
y=950, x=581..600
x=577, y=1916..1934
y=1228, x=490..507
x=485, y=1575..1590
y=1188, x=547..555
x=551, y=1093..1103
y=1846, x=611..618
x=477, y=118..144
x=495, y=103..105
x=457, y=1781..1807
x=528, y=178..191
x=474, y=95..123
x=559, y=586..607
x=622, y=1082..1088
x=483, y=309..323
x=616, y=1989..1996
x=555, y=845..854
x=510, y=1497..1513
y=196, x=553..558
y=1937, x=601..606
y=1709, x=460..462
y=1639, x=598..601
y=1352, x=479..501
y=385, x=465..467
y=1276, x=537..539
x=540, y=368..387
y=143, x=559..565
y=1230, x=519..521
x=448, y=741..744
x=587, y=1225..1234
y=1074, x=592..594
x=567, y=1464..1473
x=615, y=685..708
x=491, y=2008..2017
x=602, y=1060..1084
y=1856, x=566..573
x=614, y=1700..1712
x=483, y=670..683
x=634, y=1113..1136
y=554, x=605..629
y=74, x=624..627
y=120, x=552..570
x=476, y=1807..1814
y=83, x=508..510
x=585, y=1061..1084
x=455, y=402..405
x=487, y=751..759
x=589, y=1246..1248
x=608, y=1536..1559
x=508, y=71..83
x=437, y=1103..1111
y=784, x=549..556
y=89, x=436..457
x=614, y=1989..1996
x=542, y=530..553
x=504, y=558..578
y=282, x=602..619
x=478, y=988..1012
x=628, y=301..306
x=488, y=1955..1981
y=2017, x=466..491
y=970, x=516..519
x=472, y=630..634
x=454, y=648..659
y=76, x=624..627
x=632, y=758..785
x=506, y=1469..1484
y=1826, x=489..510
y=1672, x=549..571
y=1752, x=589..597
x=561, y=1813..1824
y=1460, x=572..579
y=148, x=530..532
x=635, y=672..677
x=620, y=175..193
y=979, x=599..606
x=596, y=1658..1680
x=489, y=1812..1826
y=381, x=592..606
y=1072, x=455..471
x=457, y=773..785
x=640, y=1576..1586
y=1646, x=449..460
y=1385, x=611..621
y=1461, x=470..474
y=156, x=450..464
x=612, y=600..609
x=502, y=1903..1915
x=595, y=1831..1847
x=635, y=585..613
y=460, x=589..617
x=520, y=1286..1297
y=151, x=522..542
y=352, x=586..603
y=1417, x=440..457
x=513, y=396..398
y=1915, x=562..567
x=608, y=1991..2001
x=458, y=566..570
x=464, y=944..954
x=517, y=945..954
x=577, y=1814..1824
x=543, y=1765..1776
x=527, y=31..37
y=610, x=481..483
x=559, y=1639..1651
x=440, y=1134..1144
y=402, x=546..554
y=780, x=586..595
y=759, x=487..489
x=585, y=757..768
y=1098, x=624..632
x=618, y=1120..1136
x=597, y=57..77
x=577, y=899..901
x=545, y=1203..1215
x=501, y=284..298
x=619, y=256..282
x=549, y=1658..1672
x=475, y=1472..1480
y=1167, x=482..501
x=639, y=1083..1088
y=1430, x=539..541
x=569, y=1528..1542
x=586, y=774..780
x=574, y=1916..1934
x=497, y=103..105
x=489, y=1210..1217
x=479, y=1560..1566
x=618, y=1833..1846
y=105, x=495..497
x=476, y=302..317
x=567, y=1480..1493
x=602, y=257..282
x=483, y=9..20
y=1130, x=557..573
x=526, y=165..167
y=1073, x=477..505
x=559, y=1712..1720
y=1668, x=605..609
x=454, y=183..188
x=501, y=481..483
y=1934, x=574..577
x=519, y=397..398
x=484, y=861..874
x=598, y=1612..1639
x=503, y=503..507
x=519, y=970..972
y=1894, x=454..479
y=1457, x=456..458
x=567, y=1020..1026
y=509, x=546..558
x=561, y=1956..1973
y=1259, x=480..483
x=615, y=883..886
y=1989, x=493..517
x=544, y=1441..1454
x=471, y=724..741
x=509, y=1967..1976
x=573, y=1330..1343
y=345, x=440..459
x=611, y=1832..1846
y=831, x=490..507
x=539, y=1266..1276
x=557, y=1095..1107
y=752, x=551..557
x=458, y=1455..1457
x=612, y=1166..1168
x=565, y=1417..1425
y=1371, x=572..575
y=1067, x=461..465
x=541, y=1640..1651
x=470, y=630..634
y=1280, x=469..471
y=1843, x=585..589
x=470, y=1535..1537
x=535, y=162..171
x=478, y=627..638
x=483, y=1946..1951
x=559, y=1420..1429
x=601, y=1612..1639
x=484, y=773..786
x=488, y=715..726
y=1822, x=554..556
x=553, y=428..449
x=606, y=1777..1779
y=1492, x=594..614
x=507, y=1401..1405
x=459, y=482..496
y=479, x=526..547
x=624, y=303..306
x=503, y=1687..1693
x=521, y=591..599
x=544, y=1572..1582
x=521, y=735..745
x=450, y=278..297
x=564, y=869..889
x=509, y=369..370
y=1629, x=520..522
x=513, y=739..742
y=1230, x=600..623
y=1899, x=498..501
y=1345, x=525..544
x=571, y=1320..1324
x=565, y=809..810
x=540, y=1790..1811
x=501, y=10..20
y=1103, x=545..551
x=557, y=745..752
x=584, y=1596..1598
x=452, y=1750..1752
y=1125, x=564..566
x=491, y=1626..1637
x=639, y=1142..1166
x=529, y=1269..1279
y=1996, x=614..616
x=618, y=1701..1712
y=1691, x=573..580
y=1822, x=520..537
y=1872, x=451..458
y=1409, x=499..516
y=517, x=457..477
y=1065, x=546..564
x=571, y=1811..1821
x=461, y=238..244
y=805, x=477..482
x=627, y=488..508
x=484, y=927..941
x=599, y=601..609
x=511, y=1244..1257
y=1155, x=513..520
y=835, x=570..587
y=844, x=529..537
x=533, y=1551..1564
y=917, x=461..477
y=1207, x=445..469
y=301, x=517..533
y=1394, x=436..445
y=483, x=501..508
x=513, y=2004..2014
y=1359, x=610..629
y=1462, x=449..466
x=606, y=373..381
x=479, y=1695..1717
x=575, y=1419..1429
y=35, x=588..595
x=524, y=986..995
x=564, y=1115..1125
y=191, x=481..494
x=592, y=1153..1155
y=1566, x=479..481
x=456, y=839..852
x=436, y=1389..1394
x=465, y=836..849
x=560, y=784..786
y=818, x=621..625
y=1883, x=581..597
x=517, y=453..461
x=464, y=145..156
x=526, y=466..479
x=553, y=643..663
y=1863, x=561..581
x=586, y=496..509
x=450, y=84..86
x=522, y=141..151
x=568, y=126..140
y=1900, x=569..590
y=402, x=451..455
x=448, y=29..45
x=566, y=1856..1859
y=1136, x=631..634
x=613, y=1930..1941
y=1343, x=573..584
x=578, y=1831..1847
x=472, y=602..616
x=479, y=1348..1352
x=580, y=846..851
y=1941, x=591..613
x=601, y=577..578
y=785, x=457..464
y=1582, x=544..586
y=1084, x=585..602
x=592, y=1345..1370
x=577, y=565..575
x=533, y=288..301
x=572, y=1364..1371
x=457, y=1408..1417
x=620, y=1974..1978
y=86, x=444..450
x=570, y=1266..1285
x=460, y=1705..1709
x=576, y=1766..1778
x=624, y=1023..1032
x=468, y=1698..1716
y=1571, x=473..495
x=510, y=71..83
y=1190, x=547..555
x=456, y=415..426
x=590, y=869..889
x=462, y=1705..1709
y=402, x=616..636
y=756, x=524..534
x=461, y=179..192
y=607, x=559..581
x=581, y=405..427
x=506, y=266..280
x=635, y=379..388
y=705, x=436..497
x=566, y=53..55
x=553, y=172..196
x=524, y=204..217
x=542, y=98..118
y=504, x=592..601
y=1433, x=531..547
y=659, x=454..468
x=454, y=1750..1752
x=607, y=1484..1487
y=1537, x=470..473
x=621, y=381..384
y=295, x=478..486
y=1670, x=475..486
y=1287, x=602..604
y=1689, x=573..580
x=537, y=840..844
x=558, y=409..424
x=456, y=1095..1097
y=907, x=553..560
y=1578, x=560..578
x=593, y=734..753
x=600, y=1220..1230
x=466, y=418..430
x=561, y=1852..1863
x=593, y=1295..1312
x=579, y=622..639
x=638, y=1186..1211
x=579, y=1970..1982
x=591, y=799..821
y=1042, x=608..621
x=557, y=1019..1026
y=118, x=532..542
x=566, y=1834..1839
x=610, y=1442..1463
y=484, x=594..606
x=500, y=454..461
x=521, y=355..360
y=234, x=527..529
x=607, y=495..509
y=609, x=599..612
x=627, y=74..76
y=1685, x=441..468
y=133, x=574..601
y=1746, x=474..480
x=595, y=15..35
y=786, x=560..563
y=59, x=490..494
x=531, y=125..133
y=886, x=615..624
x=463, y=1267..1287
x=581, y=1872..1883
y=1058, x=556..558
y=1839, x=561..566
y=1032, x=624..630
x=460, y=1636..1646
x=555, y=1188..1190
x=602, y=57..77
x=584, y=1442..1463
y=1634, x=472..479
y=613, x=622..635
x=550, y=722..724
x=612, y=1721..1734
y=654, x=459..462
y=1976, x=509..524
y=1646, x=548..553
x=507, y=1227..1228
x=458, y=206..230
x=436, y=693..705
x=524, y=742..756
x=610, y=1347..1359
x=600, y=1146..1158
x=560, y=716..727
x=536, y=54..61
x=513, y=264..276
x=488, y=1099..1113
x=598, y=1909..1920
x=455, y=1057..1072
x=588, y=205..206
y=1381, x=491..498
x=477, y=906..917
x=471, y=1521..1523
y=424, x=542..558
x=586, y=1573..1582
y=298, x=498..501
x=631, y=333..358
y=1458, x=593..601
x=464, y=774..785
x=527, y=1224..1234
y=932, x=587..600
y=43, x=501..519
x=471, y=1056..1072
x=490, y=50..59
y=768, x=568..585
x=494, y=1210..1217
